# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	12124	12855	+						45633825	AT688_RS00050	732		old_locus_tag=ERS445057_00010
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	12124	12855	+	WP_005895117.1	WP_005895117.1		toxin-antitoxin system YwqK family antitoxin		45633825	AT688_RS00050	732	243	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	12924	13430	+						45633826	AT688_RS00055	507		old_locus_tag=ERS445057_00011
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	12924	13430	+	WP_032842664.1	WP_032842664.1		toxin-antitoxin system YwqK family antitoxin		45633826	AT688_RS00055	507	168	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	13489	14976	-						45633827	AT688_RS00060	1488		old_locus_tag=ERS445057_00012
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	13489	14976	-	WP_005895113.1	WP_005895113.1		alanine:cation symporter family protein		45633827	AT688_RS00060	1488	495	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	15246	16235	-					galE	45633828	AT688_RS00065	990		old_locus_tag=ERS445057_00013
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	15246	16235	-	WP_005895111.1	WP_005895111.1		UDP-glucose 4-epimerase GalE	galE	45633828	AT688_RS00065	990	329	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	16235	17764	-						45633829	AT688_RS00070	1530		old_locus_tag=ERS445057_00014
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	16235	17764	-	WP_005895109.1	WP_005895109.1		UDP-glucose--hexose-1-phosphate uridylyltransferase		45633829	AT688_RS00070	1530	509	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	17944	19110	-						45633830	AT688_RS00075	1167		old_locus_tag=ERS445057_00015
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	17944	19110	-	WP_005895107.1	WP_005895107.1		galactokinase		45633830	AT688_RS00075	1167	388	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	19268	20785	-						45633831	AT688_RS00080	1518		old_locus_tag=ERS445057_00016
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	19268	20785	-	WP_005895105.1	WP_005895105.1		YfcC family protein		45633831	AT688_RS00080	1518	505	
gene	pseudogene	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	21071	21700	-						45633832	AT688_RS00085	630		partial;pseudo;old_locus_tag=ERS445057_00017
CDS	without_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	21071	21700	-				formylglycine-generating enzyme family protein		45633832	AT688_RS00085	630		partial;pseudo
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	21792	23276	-						45633833	AT688_RS00090	1485		old_locus_tag=ERS445057_00018
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	21792	23276	-	WP_005895100.1	WP_005895100.1		tripartite tricarboxylate transporter permease		45633833	AT688_RS00090	1485	494	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	23298	23741	-						45633834	AT688_RS00095	444		old_locus_tag=ERS445057_00019
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	23298	23741	-	WP_005895098.1	WP_005895098.1		tripartite tricarboxylate transporter TctB family protein		45633834	AT688_RS00095	444	147	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	23847	24824	-						45633835	AT688_RS00100	978		old_locus_tag=ERS445057_00020
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	23847	24824	-	WP_005895096.1	WP_005895096.1		tripartite tricarboxylate transporter substrate binding protein		45633835	AT688_RS00100	978	325	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	24942	25775	-						45633836	AT688_RS00105	834		old_locus_tag=ERS445057_00021
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	24942	25775	-	WP_005895094.1	WP_005895094.1		CPBP family intramembrane metalloprotease		45633836	AT688_RS00105	834	277	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	25785	27686	-						45633837	AT688_RS00110	1902		old_locus_tag=ERS445057_00022
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	25785	27686	-	WP_005895092.1	WP_005895092.1		ABC-F family ATP-binding cassette domain-containing protein		45633837	AT688_RS00110	1902	633	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	27760	28044	-						45633838	AT688_RS00115	285		old_locus_tag=ERS445057_00023
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	27760	28044	-	WP_005895090.1	WP_005895090.1		type II toxin-antitoxin system RelE/ParE family toxin		45633838	AT688_RS00115	285	94	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	28034	28264	-						45633839	AT688_RS00120	231		old_locus_tag=ERS445057_00024
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	28034	28264	-	WP_005895088.1	WP_005895088.1		DUF6290 family protein		45633839	AT688_RS00120	231	76	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	28339	29241	-						45633840	AT688_RS00125	903		old_locus_tag=ERS445057_00025
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	28339	29241	-	WP_005895086.1	WP_005895086.1		DMT family transporter		45633840	AT688_RS00125	903	300	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	29261	30754	-						45633841	AT688_RS00130	1494		old_locus_tag=ERS445057_00026
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	29261	30754	-	WP_005895085.1	WP_005895085.1		S8 family peptidase		45633841	AT688_RS00130	1494	497	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	31097	31474	-						45633842	AT688_RS00135	378		old_locus_tag=ERS445057_00027
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	31097	31474	-	WP_005895084.1	WP_005895084.1		YbaN family protein		45633842	AT688_RS00135	378	125	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	31637	32410	+						45633843	AT688_RS00140	774		old_locus_tag=ERS445057_00028
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	31637	32410	+	WP_005895083.1	WP_005895083.1		Mrp/NBP35 family ATP-binding protein		45633843	AT688_RS00140	774	257	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	32879	33424	+						45633844	AT688_RS00145	546		old_locus_tag=ERS445057_00029
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	32879	33424	+	WP_005895077.1	WP_005895077.1		NAD(P)H-dependent oxidoreductase		45633844	AT688_RS00145	546	181	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	33449	33886	+						45633845	AT688_RS00150	438		old_locus_tag=ERS445057_00030
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	33449	33886	+	WP_005895074.1	WP_005895074.1		GNAT family N-acetyltransferase		45633845	AT688_RS00150	438	145	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	34119	34637	+						45633846	AT688_RS00155	519		old_locus_tag=ERS445057_00031
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	34119	34637	+	WP_005895071.1	WP_005895071.1		hypothetical protein		45633846	AT688_RS00155	519	172	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	34637	34819	+						45633847	AT688_RS00160	183		old_locus_tag=ERS445057_00032
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	34637	34819	+	WP_005895068.1	WP_005895068.1		hypothetical protein		45633847	AT688_RS00160	183	60	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	35006	36250	+						45633848	AT688_RS00165	1245		old_locus_tag=ERS445057_00033
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	35006	36250	+	WP_005895065.1	WP_005895065.1		GspE/PulE family protein		45633848	AT688_RS00165	1245	414	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	36247	37287	+						45633849	AT688_RS00170	1041		old_locus_tag=ERS445057_00034
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	36247	37287	+	WP_005895062.1	WP_005895062.1		type II secretion system F family protein		45633849	AT688_RS00170	1041	346	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	37514	38002	+						45633850	AT688_RS00175	489		old_locus_tag=ERS445057_00035
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	37514	38002	+	WP_005895059.1	WP_005895059.1		type II secretion system GspH family protein		45633850	AT688_RS00175	489	162	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	37987	38487	+						45633851	AT688_RS00180	501		old_locus_tag=ERS445057_00036
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	37987	38487	+	WP_005895055.1	WP_005895055.1		A24 family peptidase		45633851	AT688_RS00180	501	166	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	38484	38897	+						45633852	AT688_RS00185	414		old_locus_tag=ERS445057_00037
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	38484	38897	+	WP_005895052.1	WP_005895052.1		prepilin-type N-terminal cleavage/methylation domain-containing protein		45633852	AT688_RS00185	414	137	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	38899	39456	+						45633853	AT688_RS00190	558		old_locus_tag=ERS445057_00038
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	38899	39456	+	WP_005895049.1	WP_005895049.1		hypothetical protein		45633853	AT688_RS00190	558	185	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	39425	39982	+						45633854	AT688_RS00195	558		old_locus_tag=ERS445057_00039
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	39425	39982	+	WP_032842662.1	WP_032842662.1		hypothetical protein		45633854	AT688_RS00195	558	185	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	39975	41144	+						45633855	AT688_RS00200	1170		old_locus_tag=ERS445057_00040
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	39975	41144	+	WP_005895043.1	WP_005895043.1		PilN domain-containing protein		45633855	AT688_RS00200	1170	389	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	41421	42236	+						45633856	AT688_RS00205	816		old_locus_tag=ERS445057_00041
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	41421	42236	+	WP_032842660.1	WP_032842660.1		hypothetical protein		45633856	AT688_RS00205	816	271	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	42279	43826	+						45633857	AT688_RS00210	1548		old_locus_tag=ERS445057_00042
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	42279	43826	+	WP_005895034.1	WP_005895034.1		carboxypeptidase-like regulatory domain-containing protein		45633857	AT688_RS00210	1548	515	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	44036	45667	+						45633858	AT688_RS00215	1632		old_locus_tag=ERS445057_00043
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	44036	45667	+	WP_058229288.1	WP_058229288.1		AAA family ATPase		45633858	AT688_RS00215	1632	543	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	45947	46432	+						45633859	AT688_RS00220	486		old_locus_tag=ERS445057_00044
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	45947	46432	+	WP_005895027.1	WP_005895027.1		PepSY domain-containing protein		45633859	AT688_RS00220	486	161	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	46514	47233	-						45633860	AT688_RS00225	720		old_locus_tag=ERS445057_00045
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	46514	47233	-	WP_005895024.1	WP_005895024.1		YoaK family protein		45633860	AT688_RS00225	720	239	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	47351	47941	+						45633861	AT688_RS00230	591		old_locus_tag=ERS445057_00046
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	47351	47941	+	WP_005895021.1	WP_005895021.1		hypothetical protein		45633861	AT688_RS00230	591	196	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	48101	49735	+						45633862	AT688_RS00235	1635		old_locus_tag=ERS445057_00047
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	48101	49735	+	WP_005895018.1	WP_005895018.1		formate--tetrahydrofolate ligase		45633862	AT688_RS00235	1635	544	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	49984	50913	+						45633863	AT688_RS00240	930		old_locus_tag=ERS445057_00048
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	49984	50913	+	WP_005895014.1	WP_005895014.1		ABC transporter substrate-binding protein		45633863	AT688_RS00240	930	309	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	51172	52017	+						45633864	AT688_RS00245	846		old_locus_tag=ERS445057_00049
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	51172	52017	+	WP_005895008.1	WP_005895008.1		ABC transporter permease		45633864	AT688_RS00245	846	281	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	52020	52796	+						45633865	AT688_RS00250	777		old_locus_tag=ERS445057_00050
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	52020	52796	+	WP_005895005.1	WP_005895005.1		ABC transporter ATP-binding protein		45633865	AT688_RS00250	777	258	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	53180	54022	+						45633866	AT688_RS00255	843		old_locus_tag=ERS445057_00051
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	53180	54022	+	WP_005895002.1	WP_005895002.1		WYL domain-containing protein		45633866	AT688_RS00255	843	280	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	54059	55486	-					nhaC	45633867	AT688_RS00260	1428		old_locus_tag=ERS445057_00052
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	54059	55486	-	WP_005894999.1	WP_005894999.1		Na+/H+ antiporter NhaC	nhaC	45633867	AT688_RS00260	1428	475	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	55668	56201	-						45633868	AT688_RS00265	534		old_locus_tag=ERS445057_00053
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	55668	56201	-	WP_005894996.1	WP_005894996.1		adenine phosphoribosyltransferase		45633868	AT688_RS00265	534	177	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	56213	57280	-						45633869	AT688_RS00270	1068		old_locus_tag=ERS445057_00054
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	56213	57280	-	WP_005894993.1	WP_005894993.1		NCS2 family permease		45633869	AT688_RS00270	1068	355	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	57744	59219	+						45633870	AT688_RS00275	1476		old_locus_tag=ERS445057_00055
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	57744	59219	+	WP_058229289.1	WP_058229289.1		cobyric acid synthase		45633870	AT688_RS00275	1476	491	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	59345	60700	+						45633871	AT688_RS00280	1356		old_locus_tag=ERS445057_00056
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	59345	60700	+	WP_005894987.1	WP_005894987.1		sodium:alanine symporter family protein		45633871	AT688_RS00280	1356	451	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	60721	62178	+						45633872	AT688_RS00285	1458		old_locus_tag=ERS445057_00057
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	60721	62178	+	WP_005894984.1	WP_005894984.1		HD domain-containing protein		45633872	AT688_RS00285	1458	485	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	62200	62739	+						45633873	AT688_RS00290	540		old_locus_tag=ERS445057_00058
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	62200	62739	+	WP_005894981.1	WP_005894981.1		TlpA family protein disulfide reductase		45633873	AT688_RS00290	540	179	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	62773	63198	-						45633874	AT688_RS00295	426		old_locus_tag=ERS445057_00059
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	62773	63198	-	WP_023038164.1	WP_023038164.1		ImmA/IrrE family metallo-endopeptidase		45633874	AT688_RS00295	426	141	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	63149	63616	-						45633875	AT688_RS00300	468		old_locus_tag=ERS445057_00060
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	63149	63616	-	WP_005894976.1	WP_005894976.1		helix-turn-helix domain-containing protein		45633875	AT688_RS00300	468	155	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	63803	64306	+						45633876	AT688_RS00305	504		old_locus_tag=ERS445057_00061
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	63803	64306	+	WP_005894974.1	WP_005894974.1		hypothetical protein		45633876	AT688_RS00305	504	167	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	64459	64863	+						45633877	AT688_RS00310	405		old_locus_tag=ERS445057_00062
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	64459	64863	+	WP_005894973.1	WP_005894973.1		adhesion protein FadA		45633877	AT688_RS00310	405	134	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	64877	65437	+						45633878	AT688_RS00315	561		old_locus_tag=ERS445057_00063
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	64877	65437	+	WP_005894970.1	WP_005894970.1		hypothetical protein		45633878	AT688_RS00315	561	186	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	65470	65886	+						45633879	AT688_RS00320	417		old_locus_tag=ERS445057_00064
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	65470	65886	+	WP_005894968.1	WP_005894968.1		hypothetical protein		45633879	AT688_RS00320	417	138	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	65903	66154	+						45633880	AT688_RS00325	252		old_locus_tag=ERS445057_00065
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	65903	66154	+	WP_005894966.1	WP_005894966.1		hypothetical protein		45633880	AT688_RS00325	252	83	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	66121	66690	+						45633881	AT688_RS00330	570		old_locus_tag=ERS445057_00066
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	66121	66690	+	WP_005894964.1	WP_005894964.1		OmpA family protein		45633881	AT688_RS00330	570	189	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	66700	74067	+						45633882	AT688_RS00335	7368		old_locus_tag=ERS445057_00067
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	66700	74067	+	WP_005894961.1	WP_005894961.1		autotransporter-associated N-terminal domain-containing protein		45633882	AT688_RS00335	7368	2455	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	74212	75846	+						45633883	AT688_RS00340	1635		old_locus_tag=ERS445057_00068
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	74212	75846	+	WP_005894959.1	WP_005894959.1		AAA family ATPase		45633883	AT688_RS00340	1635	544	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	75966	77312	-						45633884	AT688_RS00345	1347		old_locus_tag=ERS445057_00069
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	75966	77312	-	WP_005894958.1	WP_005894958.1		glucose-6-phosphate isomerase		45633884	AT688_RS00345	1347	448	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	77487	78674	+						45633885	AT688_RS00350	1188		old_locus_tag=ERS445057_00070
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	77487	78674	+	WP_005894956.1	WP_005894956.1		dicarboxylate/amino acid:cation symporter		45633885	AT688_RS00350	1188	395	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	78831	79751	+						45633886	AT688_RS00355	921		old_locus_tag=ERS445057_00071
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	78831	79751	+	WP_005894954.1	WP_005894954.1		ATP-dependent Clp protease proteolytic subunit		45633886	AT688_RS00355	921	306	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	79748	79924	+						45636202	AT688_RS12390	177		old_locus_tag=ERS445057_00072
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	79748	79924	+	WP_005894952.1	WP_005894952.1		hypothetical protein		45636202	AT688_RS12390	177	58	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	80297	81466	-						45633887	AT688_RS00360	1170		old_locus_tag=ERS445057_00073
